# Time(sec) X(nm) Y(nm) Z(nm) Bead-ID
1.749060912875099897e+09 9.913999056805578221e+03 9.958544012440181177e+03 5.218744496364183578e+04 0.000000000000000000e+00
1.749060912875099897e+09 1.062421515265090238e+04 1.017401887954303857e+04 5.147372308329019143e+04 1.000000000000000000e+00
1.749060912875099897e+09 9.966862114404295426e+03 1.008153248552745208e+04 5.217221241169051791e+04 2.000000000000000000e+00
1.749060912931309462e+09 9.917292489621426284e+03 9.958709642173096654e+03 5.218714437805103080e+04 0.000000000000000000e+00
1.749060912931309462e+09 1.065665011404094366e+04 1.018539018603611112e+04 5.150587206203011010e+04 1.000000000000000000e+00
1.749060912931309462e+09 9.974613559260404145e+03 1.006198933998921530e+04 5.217203165369584167e+04 2.000000000000000000e+00
1.749060912987519026e+09 9.917281637755308111e+03 9.954596358066413814e+03 5.218695081105903955e+04 0.000000000000000000e+00
1.749060912987519026e+09 1.072975700847562257e+04 1.024939470548828285e+04 5.142747360842409398e+04 1.000000000000000000e+00
1.749060912987519026e+09 9.956655167812732543e+03 1.005866711332443265e+04 5.217486150479482603e+04 2.000000000000000000e+00
1.749060913043728590e+09 9.918280768752143558e+03 9.958039046457901350e+03 5.218542351334157865e+04 0.000000000000000000e+00
1.749060913043728590e+09 1.076207516921289425e+04 1.023826814322798236e+04 5.151701728101609478e+04 1.000000000000000000e+00
1.749060913043728590e+09 9.956342179745757676e+03 1.012404303753390195e+04 5.217535220263010706e+04 2.000000000000000000e+00
1.749060913099937916e+09 9.917258491936605424e+03 9.959312426817472442e+03 5.218592286364672327e+04 0.000000000000000000e+00
1.749060913099937916e+09 1.082342875217382607e+04 1.027905500272443351e+04 5.148412139072566788e+04 1.000000000000000000e+00
1.749060913099937916e+09 9.960797550380240864e+03 1.007005275065094429e+04 5.217640185309479421e+04 2.000000000000000000e+00
1.749060913156147480e+09 9.915765559493569526e+03 9.955689682481937780e+03 5.218772990103409393e+04 0.000000000000000000e+00
1.749060913156147480e+09 1.075041867911445661e+04 1.032471518377391294e+04 5.146865005956534878e+04 1.000000000000000000e+00
1.749060913156147480e+09 9.960120911705189428e+03 1.006070371330848866e+04 5.217765376692370046e+04 2.000000000000000000e+00
1.749060913212357044e+09 9.917274801465368000e+03 9.959540820730542691e+03 5.218997443797811866e+04 0.000000000000000000e+00
1.749060913212357044e+09 1.089757510533669483e+04 1.020875663654245000e+04 5.140543439529387251e+04 1.000000000000000000e+00
1.749060913212357044e+09 9.995043276329661239e+03 1.007217924716550988e+04 5.216970490332291229e+04 2.000000000000000000e+00
1.749060913268566608e+09 9.915405271079009253e+03 9.960051775348667434e+03 5.218790385981258441e+04 0.000000000000000000e+00
1.749060913268566608e+09 1.080078747808449407e+04 1.025418564563443397e+04 5.128547951878454478e+04 1.000000000000000000e+00
1.749060913268566608e+09 9.983120048877133740e+03 1.006399406426365022e+04 5.217186241266487195e+04 2.000000000000000000e+00
1.749060913324775934e+09 9.917824698503674881e+03 9.961444999529816414e+03 5.218945667369011062e+04 0.000000000000000000e+00
1.749060913324775934e+09 1.065464280844343375e+04 1.018636862702408325e+04 5.144610945200002607e+04 1.000000000000000000e+00
1.749060913324775934e+09 9.936992055467322643e+03 1.004810835036833851e+04 5.218083733192946966e+04 2.000000000000000000e+00
1.749060913380985498e+09 9.916994111116500790e+03 9.961696104574855781e+03 5.218984560829954717e+04 0.000000000000000000e+00
1.749060913380985498e+09 1.072281242432707950e+04 1.035008838654435021e+04 5.134248141091267462e+04 1.000000000000000000e+00
1.749060913380985498e+09 9.976423473501499757e+03 1.007396531705596317e+04 5.217285449254606647e+04 2.000000000000000000e+00
1.749060913437195063e+09 9.913649605890239400e+03 9.958363864555809414e+03 5.218915064553767297e+04 0.000000000000000000e+00
1.749060913437195063e+09 1.088689224759592071e+04 1.035015655418123060e+04 5.132790669254201930e+04 1.000000000000000000e+00
1.749060913437195063e+09 9.947973318695641865e+03 1.006419698539199635e+04 5.217894375659326761e+04 2.000000000000000000e+00
1.749060913493404627e+09 9.911985495275419453e+03 9.956208442489478330e+03 5.218974219215643097e+04 0.000000000000000000e+00
1.749060913493404627e+09 1.088004812609979490e+04 1.034251963993199934e+04 5.134238484209432499e+04 1.000000000000000000e+00
1.749060913493404627e+09 9.991444793017495613e+03 1.008475743862918534e+04 5.217087033141391294e+04 2.000000000000000000e+00
1.749060913549614191e+09 9.917305866196113129e+03 9.959701713457185178e+03 5.218849372637274064e+04 0.000000000000000000e+00
1.749060913549614191e+09 1.059456595038270643e+04 1.040046880417582543e+04 5.135084563331269601e+04 1.000000000000000000e+00
1.749060913549614191e+09 9.982997473340130455e+03 1.004624941588176262e+04 5.217424364137206430e+04 2.000000000000000000e+00
1.749060913605823517e+09 9.911284645239391466e+03 9.958330175738063190e+03 5.219190015950473753e+04 0.000000000000000000e+00
1.749060913605823517e+09 1.026661935070276922e+04 1.040664303146932616e+04 5.139847367773173028e+04 1.000000000000000000e+00
1.749060913605823517e+09 9.951279722907051109e+03 1.006375117945971760e+04 5.218093391910640639e+04 2.000000000000000000e+00
1.749060913662033081e+09 9.915005730216436859e+03 9.954806063327388983e+03 5.218951129607947223e+04 0.000000000000000000e+00
1.749060913662033081e+09 1.025685966008338619e+04 1.046207017831951634e+04 5.143500663833365252e+04 1.000000000000000000e+00
