# Time(sec) X(nm) Y(nm) Z(nm) Bead-ID
1.749060924117269993e+09 9.917518706869099333e+03 9.954617544682143489e+03 5.218963026624162740e+04 0.000000000000000000e+00
1.749060924117269993e+09 1.038961917966972396e+04 1.028269418616583425e+04 5.163843730305509234e+04 1.000000000000000000e+00
1.749060924117269993e+09 9.961067421891662889e+03 1.002026615638387011e+04 5.217780475618268247e+04 2.000000000000000000e+00
1.749060924173479319e+09 9.919767754529550075e+03 9.956734173528551764e+03 5.218856091068302339e+04 0.000000000000000000e+00
1.749060924173479319e+09 1.040788479854423713e+04 1.039462850233037898e+04 5.173858324295809871e+04 1.000000000000000000e+00
1.749060924173479319e+09 9.972745420707555240e+03 1.005127138037371333e+04 5.217361053530647041e+04 2.000000000000000000e+00
1.749060924229688883e+09 9.915950098691375388e+03 9.948890604468246238e+03 5.218913269650654547e+04 0.000000000000000000e+00
1.749060924229688883e+09 1.058177563668806215e+04 1.043561818965272323e+04 5.158250609320894000e+04 1.000000000000000000e+00
1.749060924229688883e+09 9.984464644424830112e+03 1.006469573369841783e+04 5.217390400018119544e+04 2.000000000000000000e+00
1.749060924285898447e+09 9.913537575752696284e+03 9.948653874803432700e+03 5.218974282243796188e+04 0.000000000000000000e+00
1.749060924285898447e+09 1.074938405663607591e+04 1.038427006977198107e+04 5.147267278026183340e+04 1.000000000000000000e+00
1.749060924285898447e+09 9.985184179938723901e+03 1.003411844975842905e+04 5.217450478708607989e+04 2.000000000000000000e+00
1.749060924342161417e+09 9.917584927858022638e+03 9.952881770689369660e+03 5.218814296905237279e+04 0.000000000000000000e+00
1.749060924342161417e+09 1.068973310616466370e+04 1.049042334352190483e+04 5.154173781588844577e+04 1.000000000000000000e+00
1.749060924342161417e+09 9.992553128215071411e+03 1.005818837194098160e+04 5.217173471548463567e+04 2.000000000000000000e+00
1.749060924398370981e+09 9.916871876958475696e+03 9.954495608014147365e+03 5.218949927263628342e+04 0.000000000000000000e+00
1.749060924398370981e+09 1.054391780281406136e+04 1.053096506915058308e+04 5.151323384614257520e+04 1.000000000000000000e+00
1.749060924398370981e+09 9.991330213911025567e+03 1.005600459311112172e+04 5.216974195732905355e+04 2.000000000000000000e+00
1.749060924454580545e+09 9.914364570134763198e+03 9.954473412992778321e+03 5.218970433359957678e+04 0.000000000000000000e+00
1.749060924454580545e+09 1.061875762048981051e+04 1.053093951397271849e+04 5.150102050991341821e+04 1.000000000000000000e+00
1.749060924454580545e+09 9.969345507584255756e+03 1.002802487437501259e+04 5.217632813159711804e+04 2.000000000000000000e+00
1.749060924510790110e+09 9.913402069877351096e+03 9.956196633913970800e+03 5.219004962366975815e+04 0.000000000000000000e+00
1.749060924510790110e+09 1.057982360591864744e+04 1.038770017965239276e+04 5.139242124056128523e+04 1.000000000000000000e+00
1.749060924510790110e+09 1.000186592424885021e+04 1.006737803651607646e+04 5.216994468873176083e+04 2.000000000000000000e+00
1.749060924566999435e+09 9.914589183097026762e+03 9.957288356408971595e+03 5.219058696777905425e+04 0.000000000000000000e+00
1.749060924566999435e+09 1.052455064276820667e+04 1.043762415201816839e+04 5.138754650129962829e+04 1.000000000000000000e+00
1.749060924566999435e+09 9.941342900833218664e+03 1.004357110263167669e+04 5.218121913407759712e+04 2.000000000000000000e+00
1.749060924623209000e+09 9.917959127194966641e+03 9.957808734557474963e+03 5.218732010066805378e+04 0.000000000000000000e+00
1.749060924623209000e+09 1.060168073408179225e+04 1.031021605871402426e+04 5.129245485255437234e+04 1.000000000000000000e+00
1.749060924623209000e+09 9.988239980210630165e+03 1.006538871289229974e+04 5.216852944210911664e+04 2.000000000000000000e+00
1.749060924679418564e+09 9.913287418388892547e+03 9.955951125907651658e+03 5.218944006844591786e+04 0.000000000000000000e+00
1.749060924679418564e+09 1.064845840251921800e+04 1.040975044416163473e+04 5.141109308367049380e+04 1.000000000000000000e+00
1.749060924679418564e+09 9.956194065983969267e+03 1.000720684969982176e+04 5.217871801605004293e+04 2.000000000000000000e+00
1.749060924735628128e+09 9.912033053879056752e+03 9.950456039733055150e+03 5.219080068955118622e+04 0.000000000000000000e+00
1.749060924735628128e+09 1.077020176334524513e+04 1.052419816367042404e+04 5.130484440707320027e+04 1.000000000000000000e+00
1.749060924735628128e+09 9.974669660513103736e+03 1.005534377105165004e+04 5.217550297926510393e+04 2.000000000000000000e+00
1.749060924791837454e+09 9.918332540929153765e+03 9.953934791717729240e+03 5.218875495888988371e+04 0.000000000000000000e+00
1.749060924791837454e+09 1.065817610453052657e+04 1.046670561945558620e+04 5.129640507099899696e+04 1.000000000000000000e+00
1.749060924791837454e+09 9.965613128216940822e+03 1.004952119474084611e+04 5.217641053894461220e+04 2.000000000000000000e+00
1.749060924848047018e+09 9.917908403453780920e+03 9.948273227684336234e+03 5.218819989481320226e+04 0.000000000000000000e+00
1.749060924848047018e+09 1.055515354836838378e+04 1.055467528305695123e+04 5.133364166065311292e+04 1.000000000000000000e+00
1.749060924848047018e+09 9.988441603004048375e+03 1.006896275873900777e+04 5.217271673496013682e+04 2.000000000000000000e+00
1.749060924904256582e+09 9.913132760216234601e+03 9.950352791932482432e+03 5.218978594783387234e+04 0.000000000000000000e+00
1.749060924904256582e+09 1.035796411616568184e+04 1.064046300997282924e+04 5.156719382903853693e+04 1.000000000000000000e+00
1.749060924904256582e+09 9.982345235249289544e+03 1.006196429760678802e+04 5.217241946165823174e+04 2.000000000000000000e+00
1.749060924960466146e+09 9.917021258262921037e+03 9.955053738046970466e+03 5.218807618285019998e+04 0.000000000000000000e+00
1.749060924960466146e+09 1.033731047956644579e+04 1.066388016044306823e+04 5.146720995597437286e+04 1.000000000000000000e+00
1.749060924960466146e+09 9.949626050281016433e+03 1.003466545710846549e+04 5.217754500812685001e+04 2.000000000000000000e+00
1.749060925016675711e+09 9.917115438711103707e+03 9.957852471263075131e+03 5.219009031176110875e+04 0.000000000000000000e+00
1.749060925016675711e+09 1.056337706286410503e+04 1.045840876276879681e+04 5.151202741848793812e+04 1.000000000000000000e+00
1.749060925016675711e+09 9.971522102925133368e+03 1.004662265512268277e+04 5.217372669703506108e+04 2.000000000000000000e+00
1.749060925072885036e+09 9.913615144737765149e+03 9.954123010925022754e+03 5.218898728360982932e+04 0.000000000000000000e+00
1.749060925072885036e+09 1.052993384264310771e+04 1.030120103636919339e+04 5.146916689501990913e+04 1.000000000000000000e+00
1.749060925072885036e+09 9.964956741324083850e+03 1.004334513908671397e+04 5.217383591027861985e+04 2.000000000000000000e+00
1.749060925129094601e+09 9.916184448853033246e+03 9.955386145308288178e+03 5.218740818627507542e+04 0.000000000000000000e+00
1.749060925129094601e+09 1.045396163736620110e+04 1.037650905115379828e+04 5.132984501933146385e+04 1.000000000000000000e+00
1.749060925129094601e+09 9.986660347659679246e+03 1.003677937802159795e+04 5.217000672819245665e+04 2.000000000000000000e+00
1.749060925185304165e+09 9.914558869801530818e+03 9.954584380316720853e+03 5.218473517432607332e+04 0.000000000000000000e+00
1.749060925185304165e+09 1.041527206067817315e+04 1.031970485289654425e+04 5.144555486921581178e+04 1.000000000000000000e+00
1.749060925185304165e+09 9.988026964252410835e+03 1.005570767800717840e+04 5.216840367363271798e+04 2.000000000000000000e+00
1.749060925241513729e+09 9.910579049264348214e+03 9.949709397738470216e+03 5.218786141853847221e+04 0.000000000000000000e+00
1.749060925241513729e+09 1.049361605454534765e+04 1.028127848515800542e+04 5.141996447894215089e+04 1.000000000000000000e+00
1.749060925241513729e+09 9.995942910238851255e+03 1.002107327739083121e+04 5.217102148825257609e+04 2.000000000000000000e+00
1.749060925297723055e+09 9.913120038500606825e+03 9.948124424390744025e+03 5.218715601600644732e+04 0.000000000000000000e+00
1.749060925297723055e+09 1.057606019552545149e+04 1.019167351056963344e+04 5.142242454680631636e+04 1.000000000000000000e+00
1.749060925297723055e+09 1.000029346006779087e+04 1.005923985870888282e+04 5.216883631699177204e+04 2.000000000000000000e+00
1.749060925353932619e+09 9.912946560454240171e+03 9.953797779954991711e+03 5.218667425468200963e+04 0.000000000000000000e+00
1.749060925353932619e+09 1.069054232971339661e+04 1.046078089877281309e+04 5.141682178232906881e+04 1.000000000000000000e+00
1.749060925353932619e+09 9.992194294988186812e+03 1.005926162822324659e+04 5.216924831922774320e+04 2.000000000000000000e+00
1.749060925410142183e+09 9.914587568263799767e+03 9.951011019286368537e+03 5.218605891903409793e+04 0.000000000000000000e+00
1.749060925410142183e+09 1.062860529313220286e+04 1.054365523111304901e+04 5.134272415569093573e+04 1.000000000000000000e+00
1.749060925410142183e+09 1.000622414928437138e+04 1.007640130876241346e+04 5.216509646364658693e+04 2.000000000000000000e+00
1.749060925466351748e+09 9.907178994606158085e+03 9.950095582857878981e+03 5.218973952687325800e+04 0.000000000000000000e+00
1.749060925466351748e+09 1.064382972558392794e+04 1.070351076261292110e+04 5.143868272151966812e+04 1.000000000000000000e+00
1.749060925466351748e+09 1.000154568994889087e+04 1.007806694313753724e+04 5.216726734521050821e+04 2.000000000000000000e+00
1.749060925522561073e+09 9.913235994213629965e+03 9.957522646180756055e+03 5.218785194480572682e+04 0.000000000000000000e+00
1.749060925522561073e+09 1.072143853093683174e+04 1.068874423981214568e+04 5.119155653496769082e+04 1.000000000000000000e+00
1.749060925522561073e+09 9.996524190074251237e+03 1.008331411789367667e+04 5.216803118706787791e+04 2.000000000000000000e+00
1.749060925578770638e+09 9.912901804795541466e+03 9.954213456743194911e+03 5.218691916341797332e+04 0.000000000000000000e+00
1.749060925578770638e+09 1.053423574976505552e+04 1.079932065624999086e+04 5.110859606383110804e+04 1.000000000000000000e+00
1.749060925578770638e+09 9.991728338257764335e+03 1.006177438787620667e+04 5.216696466737825540e+04 2.000000000000000000e+00
1.749060925634980202e+09 9.910254774924336743e+03 9.954609924709677216e+03 5.218713730236564152e+04 0.000000000000000000e+00
1.749060925634980202e+09 1.062722865370097679e+04 1.074309972321619716e+04 5.124699154231930879e+04 1.000000000000000000e+00
1.749060925634980202e+09 9.966584036759946684e+03 1.006895477071268579e+04 5.217228063378504157e+04 2.000000000000000000e+00
1.749060925691189766e+09 9.906638325077607078e+03 9.946969384583915598e+03 5.218609970173407055e+04 0.000000000000000000e+00
1.749060925691189766e+09 1.056981346126961944e+04 1.067453001504452914e+04 5.136070561366782931e+04 1.000000000000000000e+00
1.749060925691189766e+09 9.941827678693814960e+03 1.005403063567475328e+04 5.217594676068823173e+04 2.000000000000000000e+00
1.749060925747399330e+09 9.913065670597139615e+03 9.957641858559460161e+03 5.218481879772621323e+04 0.000000000000000000e+00
1.749060925747399330e+09 1.072188647868890803e+04 1.074055651916915849e+04 5.143334144664555788e+04 1.000000000000000000e+00
1.749060925747399330e+09 9.985590541497547747e+03 1.004557819594761168e+04 5.216760646636583988e+04 2.000000000000000000e+00
1.749060925803608656e+09 9.912571343195028021e+03 9.957567543736784501e+03 5.218426465723513684e+04 0.000000000000000000e+00
1.749060925803608656e+09 1.050481577377229951e+04 1.068108665423333696e+04 5.145512553191214829e+04 1.000000000000000000e+00
1.749060925803608656e+09 9.979354428060069040e+03 1.005079853613883824e+04 5.216790841829109559e+04 2.000000000000000000e+00
1.749060925859818220e+09 9.912653506057520644e+03 9.953703642623431733e+03 5.218363474111071992e+04 0.000000000000000000e+00
1.749060925859818220e+09 1.069606946452957527e+04 1.080691357021556360e+04 5.144343634542245127e+04 1.000000000000000000e+00
1.749060925859818220e+09 9.999497297264730150e+03 1.003909640399632372e+04 5.216542724801837176e+04 2.000000000000000000e+00
1.749060925916027784e+09 9.912589946039513961e+03 9.950412633110157913e+03 5.218341979794396320e+04 0.000000000000000000e+00
1.749060925916027784e+09 1.057974935733824714e+04 1.097159979047627712e+04 5.142256886027308065e+04 1.000000000000000000e+00
1.749060925916027784e+09 9.982676571457581304e+03 1.005191638371364206e+04 5.216830843194589397e+04 2.000000000000000000e+00
1.749060925972237349e+09 9.912057405545969232e+03 9.954504775261866598e+03 5.218595866288160323e+04 0.000000000000000000e+00
1.749060925972237349e+09 1.037259268130613236e+04 1.091034536301470507e+04 5.142259176004307665e+04 1.000000000000000000e+00
1.749060925972237349e+09 9.974245558270331458e+03 1.004235223620685611e+04 5.217002992833004828e+04 2.000000000000000000e+00
1.749060926028446674e+09 9.903560212841379325e+03 9.948370979444045588e+03 5.218551186319652334e+04 0.000000000000000000e+00
1.749060926028446674e+09 1.027139336708037808e+04 1.060706798752657778e+04 5.132322936638612009e+04 1.000000000000000000e+00
1.749060926028446674e+09 9.943869523870771445e+03 9.979587019569951735e+03 5.217668560817874823e+04 2.000000000000000000e+00
1.749060926084656239e+09 9.908503353381445777e+03 9.955836306897825125e+03 5.218544040986557957e+04 0.000000000000000000e+00
1.749060926084656239e+09 1.038361441632940296e+04 1.056896957060309978e+04 5.147715507621630968e+04 1.000000000000000000e+00
