# Time(sec) X(nm) Y(nm) Z(nm) Bead-ID
1.749060919002097368e+09 9.905672952825918401e+03 9.954716461861520656e+03 5.219274860849466495e+04 0.000000000000000000e+00
1.749060919002097368e+09 1.077940772262209975e+04 1.044084367084644873e+04 5.140785908737399586e+04 1.000000000000000000e+00
1.749060919002097368e+09 9.974738174884620094e+03 1.007715331053709815e+04 5.217629031653257698e+04 2.000000000000000000e+00
1.749060919058306694e+09 9.910164937240775544e+03 9.952649813724510750e+03 5.219158939676220325e+04 0.000000000000000000e+00
1.749060919058306694e+09 1.074273435106930992e+04 1.034327539530828835e+04 5.145797170669311163e+04 1.000000000000000000e+00
1.749060919058306694e+09 9.967382596133911647e+03 1.005474578999134428e+04 5.217592201540590759e+04 2.000000000000000000e+00
1.749060919114516258e+09 9.911842172037888304e+03 9.958291890323780535e+03 5.219092476463714411e+04 0.000000000000000000e+00
1.749060919114516258e+09 1.084898392590633011e+04 1.039905328576744796e+04 5.149318471789880277e+04 1.000000000000000000e+00
1.749060919114516258e+09 9.989920525260618888e+03 1.008212409239858243e+04 5.217064829748433112e+04 2.000000000000000000e+00
1.749060919170725822e+09 9.911930720191125147e+03 9.954639062899355849e+03 5.219140566537001723e+04 0.000000000000000000e+00
1.749060919170725822e+09 1.095096828188481413e+04 1.034121844332958972e+04 5.140997383005370648e+04 1.000000000000000000e+00
1.749060919170725822e+09 9.974092557390660659e+03 1.006267001353538035e+04 5.217670399047069805e+04 2.000000000000000000e+00
1.749060919226935387e+09 9.911909927624721604e+03 9.955036795485129915e+03 5.219357539496484969e+04 0.000000000000000000e+00
1.749060919226935387e+09 1.093396681956089742e+04 1.035613376762311054e+04 5.147855049332186900e+04 1.000000000000000000e+00
1.749060919226935387e+09 9.958480289087283381e+03 1.007488700520380189e+04 5.218033665098130587e+04 2.000000000000000000e+00
1.749060919283144951e+09 9.909821946120075154e+03 9.950990150483556135e+03 5.219292502676618460e+04 0.000000000000000000e+00
1.749060919283144951e+09 1.092889913500664079e+04 1.036091455682799096e+04 5.150123957874205371e+04 1.000000000000000000e+00
1.749060919283144951e+09 9.954424337803606250e+03 1.004746080406539295e+04 5.217938251158659841e+04 2.000000000000000000e+00
1.749060919339354277e+09 9.914734620813555011e+03 9.953536081494805330e+03 5.219197079053605557e+04 0.000000000000000000e+00
1.749060919339354277e+09 1.115443975794733706e+04 1.030803766381284731e+04 5.164511488007505977e+04 1.000000000000000000e+00
1.749060919339354277e+09 9.954048726976106991e+03 1.001551622398457766e+04 5.218190085470152553e+04 2.000000000000000000e+00
1.749060919395563841e+09 9.913257083273985700e+03 9.953529435326374369e+03 5.219177497243881953e+04 0.000000000000000000e+00
1.749060919395563841e+09 1.107840514938002707e+04 1.009423936967993905e+04 5.142806953657839040e+04 1.000000000000000000e+00
1.749060919395563841e+09 9.944599856123042628e+03 1.005666682989783658e+04 5.217945234869968408e+04 2.000000000000000000e+00
1.749060919451773405e+09 9.910095184806903490e+03 9.955278953494796951e+03 5.219339903473621962e+04 0.000000000000000000e+00
1.749060919451773405e+09 1.087048951188000319e+04 9.987777596180991168e+03 5.147244664125290728e+04 1.000000000000000000e+00
1.749060919451773405e+09 9.956677932655222321e+03 1.001197621924578925e+04 5.218153717354412947e+04 2.000000000000000000e+00
1.749060919507982969e+09 9.912301479181063769e+03 9.955621538426856205e+03 5.219353644333693956e+04 0.000000000000000000e+00
1.749060919507982969e+09 1.064586560334937167e+04 1.021505405353733477e+04 5.145477829447208933e+04 1.000000000000000000e+00
1.749060919507982969e+09 9.998695963459664199e+03 1.008026123700865901e+04 5.217375560749413125e+04 2.000000000000000000e+00
1.749060919564192295e+09 9.912005999895816785e+03 9.952162886460944719e+03 5.219328791923751123e+04 0.000000000000000000e+00
1.749060919564192295e+09 1.077134878935104098e+04 1.013952852203657494e+04 5.141541056438411761e+04 1.000000000000000000e+00
1.749060919564192295e+09 9.959561965772980329e+03 1.003893580096531696e+04 5.218117778054020164e+04 2.000000000000000000e+00
1.749060919620401859e+09 9.914341334456317782e+03 9.951262473291208153e+03 5.219326052098224318e+04 0.000000000000000000e+00
1.749060919620401859e+09 1.086865434936428028e+04 1.037602515239502827e+04 5.136666807164566126e+04 1.000000000000000000e+00
1.749060919620401859e+09 9.993813496124583253e+03 1.003808368620638248e+04 5.217500303008435731e+04 2.000000000000000000e+00
1.749060919676611423e+09 9.911700854478842302e+03 9.956485838912351028e+03 5.219181428844303446e+04 0.000000000000000000e+00
1.749060919676611423e+09 1.093842744022094485e+04 1.039883168419750837e+04 5.142698517128579260e+04 1.000000000000000000e+00
1.749060919676611423e+09 9.988616209896608780e+03 1.003864103410235839e+04 5.217323315821489086e+04 2.000000000000000000e+00
1.749060919732820988e+09 9.912595835251262542e+03 9.952121251542263053e+03 5.219516699259786401e+04 0.000000000000000000e+00
1.749060919732820988e+09 1.100175030680598866e+04 1.070184313029957411e+04 5.150828031675092643e+04 1.000000000000000000e+00
1.749060919732820988e+09 9.999325156233793678e+03 1.005594965349493032e+04 5.217450394734148722e+04 2.000000000000000000e+00
1.749060919789030552e+09 9.916129291579374694e+03 9.950475950463571280e+03 5.219202788337220409e+04 0.000000000000000000e+00
1.749060919789030552e+09 1.121597610652998810e+04 1.070254906403752102e+04 5.159319061693207186e+04 1.000000000000000000e+00
1.749060919789030552e+09 9.992413785412250945e+03 1.006357831351112145e+04 5.217334743198517390e+04 2.000000000000000000e+00
1.749060919845239878e+09 9.913643362625718510e+03 9.952455700555266958e+03 5.219241956921087694e+04 0.000000000000000000e+00
1.749060919845239878e+09 1.106205064964580015e+04 1.084004439211832687e+04 5.160665922470526129e+04 1.000000000000000000e+00
1.749060919845239878e+09 9.999802602892377763e+03 1.004366305734672824e+04 5.217168508249833394e+04 2.000000000000000000e+00
1.749060919901449442e+09 9.915561759745993186e+03 9.949445273174875183e+03 5.219085432025409682e+04 0.000000000000000000e+00
1.749060919901449442e+09 1.113989050239617973e+04 1.072044165792212152e+04 5.164136533363916533e+04 1.000000000000000000e+00
1.749060919901449442e+09 9.988246014971551631e+03 1.006203725643733924e+04 5.217512119863876433e+04 2.000000000000000000e+00
1.749060919957659006e+09 9.915016832619459819e+03 9.951870075004737373e+03 5.219227742189997662e+04 0.000000000000000000e+00
1.749060919957659006e+09 1.098733825114365391e+04 1.084978476564181256e+04 5.152069186678716505e+04 1.000000000000000000e+00
1.749060919957659006e+09 9.982998985622354667e+03 1.007084596578780111e+04 5.217564703313074278e+04 2.000000000000000000e+00
1.749060920013868570e+09 9.913759352110728287e+03 9.954873416029358850e+03 5.219188176505707816e+04 0.000000000000000000e+00
1.749060920013868570e+09 1.109191223758065098e+04 1.080740183393970437e+04 5.146121915052628174e+04 1.000000000000000000e+00
